,artist_name,track_name,track_id,album_name,album_id,release_date,popularity,explicit,danceability,duration_ms,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,featured_artists
21,"Tyler, The Creator",VCR,5soIZB93fAOG11xJ7OQKrx,12 Odd Future Songs,2EL4Tqtj9eXAjxcKPDIyu1,2011-10-03,54,True,0.546,208213,0.891,8,-7.13,0,0.297,0.0587,5.95e-05,0.0934,0.292,151.18,4,[]
22,"Tyler, The Creator",I DON'T LOVE YOU ANYMORE,5A0M6B0RBSXSNWv0wcppZ9,IGOR,5zi7WsKlIiUXv09tbGLKsE,2019-05-17,63,True,0.638,161200,0.522,8,-9.814,1,0.0932,0.352,0.0663,0.165,0.584,142.952,4,[]
23,"Tyler, The Creator",Yonkers,1nwkSqzTyXBk6XF796EOav,Goblin,5dbCm8qaCdWnNdVyi3urUO,2011-05-09,60,True,0.712,249333,0.759,11,-5.397,1,0.334,0.0161,0.0808,0.217,0.738,79.102,4,[]
24,"Tyler, The Creator",WHAT'S GOOD,6bOkaEXc5CopinGazSLokx,IGOR,5zi7WsKlIiUXv09tbGLKsE,2019-05-17,64,True,0.458,205627,0.909,1,-6.553,1,0.487,0.0567,4.26e-06,0.11,0.449,118.227,4,[]
25,"Tyler, The Creator",Glitter,0qtK3XwbuG153dmwB8iepL,Flower Boy,2nkto6YNI4rUYTLqEwWJ3o,2017-07-21,65,True,0.449,224893,0.434,1,-11.777,1,0.243,0.306,2.76e-06,0.633,0.371,78.57,5,[]
26,"Tyler, The Creator",JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),7z4xW9WY86uH3gd1V9pfCM,CALL ME IF YOU GET LOST,45ba6QAtNrdv6Ke4MFOKk9,2021-06-25,62,True,0.827,146419,0.571,11,-7.949,1,0.366,0.0195,0.0,0.166,0.62,142.034,4,"['Lil Uzi Vert', 'Pharrell Williams']"
27,"Tyler, The Creator",WHAT A DAY,3v3gyQkwRQGwDUZ7V2q2lF,CALL ME IF YOU GET LOST: The Estate Sale,1GG6U2SSJPHO6XsFiBzxYv,2023-03-31,61,True,0.484,216884,0.828,10,-6.29,0,0.258,0.529,0.0,0.163,0.769,88.939,4,[]
29,"Tyler, The Creator",HOT WIND BLOWS (feat. Lil Wayne),3JJL91ilRV6fXhKqu0FGXs,CALL ME IF YOU GET LOST,45ba6QAtNrdv6Ke4MFOKk9,2021-06-25,66,True,0.371,155293,0.75,7,-5.382,0,0.402,0.601,0.0,0.482,0.729,173.456,4,['Lil Wayne']
30,"Tyler, The Creator",Potato Salad,1jzIJcHCXneHw7ojC6LXiF,Potato Salad,02KFVEA5tnY0YnypmWY1tz,2018-09-28,67,True,0.538,182493,0.612,2,-6.02,1,0.424,0.308,0.0,0.213,0.684,168.197,4,['A$AP Rocky']
31,"Tyler, The Creator","Enjoy Right Now, Today",3R1Vu4Ws7UitwDxDHTol0P,Flower Boy,2nkto6YNI4rUYTLqEwWJ3o,2017-07-21,53,False,0.729,235400,0.675,1,-6.008,1,0.187,0.037,0.847,0.0891,0.654,162.126,4,[]
32,"Tyler, The Creator","Come On, Let's Go (with Nigo)",6f44p3Kc4ayD9VtbC9Clkr,I Know NIGO!,75T8WnF5n7fgKJ0EC7WRPS,2022-03-25,60,True,0.732,199500,0.734,11,-7.968,1,0.0974,0.136,0.000901,0.165,0.488,145.722,4,['Nigo']
33,"Tyler, The Creator",WHARF TALK (feat. A$AP Rocky),3u9PAti8muEXXvEjeFpQK0,CALL ME IF YOU GET LOST: The Estate Sale,1GG6U2SSJPHO6XsFiBzxYv,2023-03-31,62,True,0.788,204110,0.744,11,-6.022,1,0.069,0.189,5.74e-05,0.196,0.681,96.445,4,['A$AP Rocky']
34,"Tyler, The Creator",SORRY NOT SORRY,410ZZP746AQeiywhKvXWCo,CALL ME IF YOU GET LOST: The Estate Sale,1GG6U2SSJPHO6XsFiBzxYv,2023-03-31,66,True,0.481,206050,0.797,6,-4.094,0,0.201,0.404,0.0,0.368,0.495,96.237,3,[]
35,"Tyler, The Creator",Boredom (feat. Rex Orange County & Anna of the North),5WNYg3usc6H8N3MBEp4zVk,Flower Boy,2nkto6YNI4rUYTLqEwWJ3o,2017-07-21,66,True,0.559,320720,0.578,8,-9.54,1,0.151,0.79,0.000522,0.324,0.239,79.938,4,"['Rex Orange County', 'Anna of the North']"
36,"Tyler, The Creator",Where This Flower Blooms (feat. Frank Ocean),6KuXb26rHuRy3ZDse1VRmx,Flower Boy,2nkto6YNI4rUYTLqEwWJ3o,2017-07-21,68,True,0.686,194933,0.429,8,-10.402,0,0.15,0.71,3.41e-06,0.166,0.27,130.09,4,['Frank Ocean']
37,"Tyler, The Creator",SIR BAUDELAIRE (feat. DJ Drama),4ydmav4vl7hebadtfZtMrg,CALL ME IF YOU GET LOST,45ba6QAtNrdv6Ke4MFOKk9,2021-06-25,58,True,0.467,88625,0.635,7,-6.115,1,0.154,0.314,4.16e-06,0.844,0.51,127.596,3,['DJ Drama']
38,"Tyler, The Creator",Awkward,6c7l5gpEyCNGr86jsWneGy,Wolf,40QTqOBBxCEIQlLNdSjFQB,2013-04-01,55,True,0.472,227467,0.777,8,-8.666,1,0.294,0.225,0.0283,0.195,0.673,153.78,4,[]
39,"Tyler, The Creator",SMUCKERS (feat. Lil Wayne & Kanye West),078C2jXg7XsMgW78Gfx1JA,Cherry Bomb,621OhgnZJ7Pz8iUazct1In,2015-04-13,64,True,0.427,334363,0.849,7,-2.945,1,0.348,0.015,0.00373,0.153,0.55,79.155,4,"['Lil Wayne', 'Kanye West']"
40,"Tyler, The Creator",HEAVEN TO ME,4Z1ZlABSKDlVByJL3y5OVs,CALL ME IF YOU GET LOST: The Estate Sale,1GG6U2SSJPHO6XsFiBzxYv,2023-03-31,57,True,0.407,230554,0.932,6,-5.253,1,0.406,0.273,0.0,0.676,0.396,174.849,4,[]
41,"Tyler, The Creator",Treehome95 (feat. Coco O. & Erykah Badu),2vLwhcsvRd1f2ETft1kWDN,Wolf,40QTqOBBxCEIQlLNdSjFQB,2013-04-01,57,True,0.721,180213,0.539,11,-8.726,1,0.362,0.217,0.00257,0.419,0.377,81.971,4,"['Coco O.', 'Erykah Badu']"
