,artist_name,track_name,track_id,album_name,album_id,release_date,popularity,explicit,danceability,duration_ms,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,featured_artists
137,Young Thug,See You,47De4rxyVFYBIQoBx15TAi,Rich Homie Cartel Vol 1,65LaTW7Q12QKrF9xcMFN8M,2014-12-09,32,True,0.791,258508,0.554,6,-8.331,0,0.141,0.0293,0.0,0.486,0.173,106.038,4,[]
138,Young Thug,Pass Me The Lighter,4bSW4Z6avCXU2EZ8TAwqyS,Slime Season 4,5Dwws0oO0fQLDsrwZE7rvW,2017-12-04,30,True,0.843,218443,0.47,1,-9.776,1,0.27,0.0907,0.0,0.107,0.295,123.024,4,['MPA Duke']
139,Young Thug,Quarterback,24bkQGBiQ5JK98daJknUMa,"In Trap We Trust, Vol. 3",3zZbn4TOJvGlbOivCkRW0f,2015-10-26,34,True,0.817,283911,0.633,0,-7.739,0,0.0904,0.107,0.0,0.118,0.299,128.978,4,"['Migos', 'Peewee Longway']"
140,Young Thug,Till I Die,4SUvbvPqvl4ng9MxlLXdpT,Slime Season 4,5Dwws0oO0fQLDsrwZE7rvW,2017-12-04,31,True,0.591,242972,0.48,0,-10.114,1,0.295,0.0131,0.0,0.412,0.34,85.022,4,[]
144,Young Thug,Liger,5Nv3x5T9qpqD8KxskUFbkB,Young Martha,1uPwwIkzsCOanBsLExFitZ,2017-09-22,32,True,0.757,208630,0.71,1,-5.283,1,0.213,0.339,0.0,0.189,0.646,139.898,4,"['Carnage', 'Young Stoner Life']"
146,Young Thug,Goin Up (feat. Lil Keed),2pOm7AA1mtZ1sAjfzUscvx,Slime Language,4OHfmMUq6xwCo8zfQuc9Rf,2018-08-17,31,True,0.701,214867,0.572,0,-10.389,1,0.509,0.0678,0.0,0.387,0.599,153.933,4,"['Young Stoner Life', 'Lil Keed']"
148,Young Thug,U Ain't Slime Enough (feat. Karlae & Duke),34tMZsMP16tF90ajknBxyb,Slime Language,4OHfmMUq6xwCo8zfQuc9Rf,2018-08-17,29,True,0.715,254080,0.507,5,-10.613,0,0.26,0.0348,0.0,0.112,0.409,152.957,4,"['Young Stoner Life', 'Duke', 'Karlae']"
149,Young Thug,Icy Hot (with Doja Cat),3hluYfU25k6suH9WpaRsFm,Punk,7IKkHmEk4It4cRdOYanyvW,2021-10-15,38,True,0.908,216656,0.543,0,-7.591,1,0.209,0.0177,0.0,0.0883,0.617,143.947,4,['Doja Cat']
151,Young Thug,STS (feat. Strick),2VypG9FeVsKkYyvsYG8PUU,Slime Language,4OHfmMUq6xwCo8zfQuc9Rf,2018-08-17,34,True,0.859,219413,0.599,0,-10.546,1,0.238,0.0224,0.0,0.279,0.539,140.066,4,"['Young Stoner Life', 'Strick']"
152,Young Thug,Abracadabra (feat. Travis Scott),7GPI9g56brDQat3wHUG2E3,BUSINESS IS BUSINESS (Metro's Version),0z2a9VgdVmkr0DInVJUgu6,2023-06-26,37,True,0.65,247733,0.565,8,-6.597,0,0.225,0.0342,0.0,0.111,0.377,163.281,4,['Travis Scott']
