,artist_name,track_name,track_id,album_name,album_id,release_date,popularity,explicit,danceability,duration_ms,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,featured_artists
382,Ed Sheeran,Punchline,6sOgmZZirRoPic91xQ0pl6,Autumn Variations (Fan Living Room Sessions),5bLE2kmkZWlzAYeb6To6LA,2023-10-02,34,False,0.534,206008,0.407,11,-7.994,1,0.0261,0.844,0.0,0.113,0.616,154.059,4,[]
383,Ed Sheeran,Shivers (feat. FEDUK & SLAVA MARLOW),64MeGCH5YppnMj0iNyaXvY,Shivers (feat. FEDUK & SLAVA MARLOW),6LRQlyFOrfJoUxJH1oE0kn,2021-12-01,38,False,0.793,166360,0.553,2,-8.371,1,0.101,0.0382,0.0,0.0645,0.412,140.954,4,"['FEDUK', 'SLAVA MARLOW']"
384,Ed Sheeran,Plastic Bag,0ulYOiCpVQYmYeFMViHPai,Autumn Variations,4JBIPXbjtBx7keWjTnGYeJ,2023-09-29,28,False,0.714,229851,0.728,7,-6.552,1,0.0528,0.62,0.0,0.0752,0.387,120.032,4,[]
385,Ed Sheeran,Little Lady (feat. Mikill Pane),5rKb6l02IplvF9I0sJI9Lj,No.5 Collaborations Project,6DpIyaMgt5p9HlGd1c0LDM,2011-09-09,36,False,0.437,328653,0.5,9,-7.103,1,0.105,0.731,0.0,0.157,0.437,85.293,4,['Mikill Pane']
387,Ed Sheeran,Amazing,7ufmRzRlhMPwKo0mm0qEd4,Autumn Variations,4JBIPXbjtBx7keWjTnGYeJ,2023-09-29,27,False,0.809,245814,0.664,0,-7.265,1,0.0373,0.429,1.55e-06,0.131,0.374,116.996,4,[]
388,Ed Sheeran,Happier - Kasbo Remix,3a1QSvzb3ypLc1QpXTs9mU,Happier (Kasbo Remix),7ECFU1lKlRqNn0WokJ6VDN,2018-07-27,28,False,0.56,256800,0.823,0,-3.228,1,0.0311,0.0256,0.000433,0.0891,0.0733,100.003,4,['Kasbo']
389,Ed Sheeran,Shape of You - NOTD Remix,1dVWoeam7D1Zg6hB57pBE7,Shape of You (NOTD Remix),0gPq8o2JsJyVUyxzMITWBZ,2017-06-05,32,False,0.777,190098,0.675,1,-7.765,0,0.0827,0.166,1.46e-06,0.157,0.696,96.008,4,['NOTD']
390,Ed Sheeran,Gold Rush,3G7CxVpKKq4sybDOkrYldw,my forgotten favourites,4y3pLcRLyhwZmrTtODJzGJ,2024-09-04,32,False,0.74,243163,0.248,4,-12.659,1,0.109,0.727,0.0,0.141,0.888,83.786,4,[]
391,Ed Sheeran,Afire Love,2pEgAm8xTbhTGEv8uJ6alV,x (10th Anniversary Edition),1upLfaShcnjVjey0FdY7aO,2024-06-21,35,False,0.552,314280,0.635,5,-6.574,1,0.0447,0.465,1.62e-05,0.136,0.335,97.97,4,[]
392,Ed Sheeran,Make It Rain,14jk8LApxQ1sOSW284b4YV,x (10th Anniversary Edition),1upLfaShcnjVjey0FdY7aO,2024-06-21,33,False,0.621,404480,0.239,8,-8.371,0,0.0274,0.792,0.0,0.1,0.326,96.943,3,[]
